Hour,CoolingLoad_W
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-0.000
10,-0.000
11,-0.000
12,-84247.877
13,-361383.788
14,-243146.272
15,-306266.110
16,-671897.454
17,-594815.870
18,-150296.222
19,-0.000
20,-0.000
21,-0.000
22,-0.000
23,-0.000
24,-0.000
25,-0.000
26,-0.000
27,-0.000
28,-0.000
29,-0.000
30,-0.000
31,-0.000
32,-0.000
33,-0.000
34,-0.000
35,-21814.823
36,-243357.847
37,-388856.612
38,-310652.544
39,-300738.001
40,-206473.744
41,-166658.266
42,-73162.191
43,-0.000
44,-0.000
45,-0.000
46,-0.000
47,-0.000
48,-0.000
49,-0.000
50,-0.000
51,-0.000
52,-0.000
53,-0.000
54,-0.000
55,-0.000
56,-0.000
57,-0.000
58,-0.000
59,-130808.242
60,-530229.806
61,-960763.019
62,-1203373.298
63,-1299885.903
64,-1015191.953
65,-879075.534
66,-662531.442
67,-154509.105
68,-51502.532
69,-0.000
70,-0.000
71,-0.000
72,-0.000
73,-0.000
74,-0.000
75,-0.000
76,-0.000
77,-0.000
78,-0.000
79,-0.000
80,-0.000
81,-273329.786
82,-774016.182
83,-1023114.738
84,-1168615.872
85,-1376628.571
86,-1554484.224
87,-2065949.027
88,-2287005.796
89,-1826833.737
90,-1160043.174
91,-380785.022
92,-298540.442
93,-0.000
94,-0.000
95,-0.000
96,-0.000
97,-0.000
98,-0.000
99,-0.000
100,-0.000
101,-0.000
102,-0.000
103,-0.000
104,-0.000
105,-812000.211
106,-1061784.415
107,-1275502.081
108,-1368053.900
109,-1410595.979
110,-1403600.756
111,-1539554.887
112,-2183653.995
113,-2421053.295
114,-1586432.780
115,-447791.609
116,-367004.195
117,-0.000
118,-0.000
119,-0.000
120,-0.000
121,-0.000
122,-0.000
123,-0.000
124,-0.000
125,-0.000
126,-0.000
127,-0.000
128,-0.000
129,-0.000
130,-0.000
131,-176076.009
132,-591757.695
133,-828218.989
134,-975651.384
135,-1132303.905
136,-1315783.273
137,-1169695.262
138,-719953.070
139,-0.000
