Hour,CoolingLoad_W
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-0.000
10,-408817.506
11,-1151962.794
12,-1498697.015
13,-1626259.468
14,-1982296.257
15,-2176861.341
16,-2114686.310
17,-2035989.492
18,-1373977.968
19,-321142.816
20,-187877.385
21,-0.000
22,-0.000
23,-0.000
24,-0.000
25,-0.000
26,-0.000
27,-0.000
28,-0.000
29,-0.000
30,-0.000
31,-0.000
32,-0.000
33,-0.000
34,-582376.856
35,-1331104.326
36,-1771086.785
37,-1952264.544
38,-2283436.394
39,-2613126.999
40,-2705045.762
41,-2663906.719
42,-1706216.677
43,-392732.019
44,-209643.118
45,-0.000
46,-0.000
47,-0.000
48,-0.000
49,-0.000
50,-0.000
51,-0.000
52,-0.000
53,-0.000
54,-0.000
55,-0.000
56,-0.000
57,-0.000
58,-432341.837
59,-1570476.002
60,-1956613.385
61,-2121589.605
62,-2548987.650
63,-2862887.210
64,-2951409.427
65,-2880995.077
66,-1941869.501
67,-488998.450
68,-280060.379
69,-0.000
70,-0.000
71,-0.000
72,-0.000
73,-0.000
74,-0.000
75,-0.000
76,-0.000
77,-0.000
78,-0.000
79,-0.000
80,-0.000
81,-0.000
82,-423573.365
83,-1639249.201
84,-2357776.874
85,-2447899.633
86,-2926230.305
87,-3193734.030
88,-3196254.053
89,-3111956.354
90,-2149297.474
91,-587907.165
92,-368672.166
93,-0.000
94,-0.000
95,-0.000
96,-0.000
97,-0.000
98,-0.000
99,-0.000
100,-0.000
101,-0.000
102,-0.000
103,-0.000
104,-0.000
105,-82562.748
106,-1182577.159
107,-2116409.631
108,-2578839.890
109,-2484299.661
110,-2812989.890
111,-2699403.525
112,-2459838.994
113,-2517957.010
114,-2221237.966
115,-674327.566
116,-452886.997
117,-0.000
118,-0.000
119,-0.000
120,-0.000
121,-0.000
122,-0.000
123,-0.000
124,-0.000
125,-0.000
126,-0.000
127,-0.000
128,-0.000
129,-0.000
130,-346108.106
131,-1195105.573
132,-1410653.753
133,-1508418.349
134,-1798056.842
135,-2040199.518
