Hour,CoolingLoad_W
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-0.000
10,-0.000
11,-0.000
12,-0.000
13,-134468.515
14,-170723.007
15,-175449.012
16,-25925.447
17,-0.000
18,-0.000
19,-0.000
20,-0.000
21,-0.000
22,-0.000
23,-0.000
24,-0.000
25,-0.000
26,-0.000
27,-0.000
28,-0.000
29,-0.000
30,-0.000
31,-0.000
32,-0.000
33,-0.000
34,-0.000
35,-0.000
36,-0.000
37,-0.000
38,-0.000
39,-0.000
40,-0.000
41,-0.000
42,-0.000
43,-0.000
44,-0.000
45,-0.000
46,-0.000
47,-0.000
48,-0.000
49,-0.000
50,-0.000
51,-0.000
52,-0.000
53,-0.000
54,-0.000
55,-0.000
56,-0.000
57,-0.000
58,-0.000
59,-0.000
60,-0.000
61,-223459.496
62,-311194.697
63,-512088.740
64,-428895.667
65,-351095.472
66,-244428.620
67,-6893.775
68,-0.000
69,-0.000
70,-0.000
71,-0.000
72,-0.000
73,-0.000
74,-0.000
75,-0.000
76,-0.000
77,-0.000
78,-0.000
79,-0.000
80,-0.000
81,-0.000
82,-0.000
83,-207752.802
84,-655967.696
85,-1000259.797
86,-1212741.128
87,-1314846.690
88,-995798.483
89,-929804.255
90,-763306.836
91,-164396.229
92,-28175.733
93,-0.000
94,-0.000
95,-0.000
96,-0.000
97,-0.000
98,-0.000
99,-0.000
100,-0.000
101,-0.000
102,-0.000
103,-0.000
104,-0.000
105,-0.000
106,-101721.380
107,-637545.347
108,-869456.071
109,-1056435.397
110,-1066270.986
111,-1176217.303
112,-1370783.908
113,-1367533.073
114,-978552.428
115,-166477.594
116,-2143.518
117,-0.000
118,-0.000
119,-0.000
120,-0.000
121,-0.000
122,-0.000
123,-0.000
124,-0.000
125,-0.000
126,-0.000
127,-0.000
128,-0.000
129,-0.000
130,-0.000
131,-0.000
132,-0.000
133,-113548.997
134,-180261.117
135,-188690.711
136,-99621.435
137,-50083.267
138,-9457.153
139,-0.000
140,-0.000
141,-0.000
142,-0.000
143,-0.000
144,-0.000
