Hour,CoolingLoad_W
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,106344.64
13,456168.515
14,306919.341
15,386594.423
16,848124.554
17,750825.801
18,189716.326
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,27536.475
36,307186.408
37,490846.987
38,392131.342
39,379616.386
40,260628.241
41,210369.851
42,92351.371
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,165116.985
60,669299.929
61,1212754.569
62,1518997.335
63,1640823.53
64,1281459.272
65,1109641.867
66,836301.999
67,195034.175
68,65010.757
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,345019.469
82,977027.261
83,1291460.068
84,1475123.637
85,1737694.474
86,1962198.594
87,2607811.783
88,2886847.925
89,2305980.681
90,1464302.467
91,480658.358
92,376842.445
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,1024973.845
106,1340272.133
107,1610044.253
108,1726870.815
109,1780570.947
110,1771740.998
111,1943353.55
112,2756388.732
113,3056053.769
114,2002526.705
115,565239.616
116,463263.058
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,222257.706
132,746965.52
133,1045446.529
134,1231547.895
135,1429287.667
136,1660890.505
137,1476486.131
138,908784.329
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,280203.327
157,621282.636
158,788381.546
159,732939.212
160,841642.737
161,571916.836
162,237202.487
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,267077.573
178,834871.025
179,1281507.827
180,1543125.855
181,1645792.637
182,1980406.919
183,2048890.006
184,1768436.233
185,1657560.164
186,1292775.942
187,406359.553
188,266758.996
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,65301.629
202,1114227.925
203,1911332.013
204,2155708.229
205,2109284.175
206,2255604.393
207,2460345.252
208,2660567.722
209,2499594.144
210,1578445.615
211,289646.209
212,146075.378
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
