Hour,CoolingLoad_W
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-212805.079
10,-1248581.868
11,-1785351.444
12,-1970236.031
13,-2060299.991
14,-2327424.715
15,-2494568.003
16,-2406283.203
17,-2301897.477
18,-1606441.534
19,-354404.531
20,-184051.678
21,-0.000
22,-0.000
23,-0.000
24,-0.000
25,-0.000
26,-0.000
27,-0.000
28,-0.000
29,-0.000
30,-0.000
31,-0.000
32,-0.000
33,-53366.262
34,-1037593.414
35,-1601776.268
36,-1925525.976
37,-2155200.843
38,-2436067.282
39,-2740235.623
40,-2862735.278
41,-2575756.049
42,-1782438.538
43,-388142.786
44,-244958.807
45,-0.000
46,-0.000
47,-0.000
48,-0.000
49,-0.000
50,-0.000
51,-0.000
52,-0.000
53,-0.000
54,-0.000
55,-0.000
56,-0.000
57,-305066.360
58,-1313152.240
59,-2141794.100
60,-2354736.237
61,-2416847.617
62,-2752856.581
63,-2970157.789
64,-3027197.889
65,-2770904.307
66,-1905829.678
67,-396395.884
68,-226958.556
69,-0.000
70,-0.000
71,-0.000
72,-0.000
73,-0.000
74,-0.000
75,-0.000
76,-0.000
77,-0.000
78,-0.000
79,-0.000
80,-0.000
81,-365120.804
82,-1378631.445
83,-2168419.014
84,-2396392.769
85,-2442048.892
86,-2747879.419
87,-3044492.014
88,-3139472.699
89,-2831809.142
90,-2026739.370
91,-475508.182
92,-311987.084
93,-0.000
94,-0.000
95,-0.000
96,-0.000
97,-0.000
98,-0.000
99,-0.000
100,-0.000
101,-0.000
102,-0.000
103,-0.000
104,-0.000
105,-804772.310
106,-1239818.925
107,-1829684.522
108,-2650993.370
109,-2781948.605
110,-3187019.252
111,-3398624.765
112,-3545630.765
113,-3450015.280
114,-2328814.319
115,-594142.492
116,-416159.402
117,-0.000
118,-0.000
119,-0.000
120,-0.000
121,-0.000
122,-0.000
123,-0.000
124,-0.000
125,-0.000
126,-0.000
127,-0.000
128,-0.000
129,-0.000
130,-946741.321
131,-1648722.370
132,-1840631.996
133,-2001902.054
134,-2272510.158
