load_mode,year,target_domain,method,steps,days,hours,energy_kwh,unmet_kwh_equiv,max_unmet_kw,reward_sum,guard_steps,router_switches,severe_count,fatal_count,warning_summary
scaled,2019,T1,bounded_rule,35040,365,8760.0,3694941.5126618063,280758.1028931228,2457.5484421835304,-6503172.6888881335,0,0,0,0,************* EnergyPlus Completed Successfully-- 184 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 10.72sec
scaled,2019,T1,deterministic,35040,365,8760.0,3627224.88597482,278549.20932745945,2467.2971684823488,-6413364.814661812,753,512,0,0,************* EnergyPlus Completed Successfully-- 184 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 25.01sec
scaled,2019,T1,llm,35040,365,8760.0,3627173.534649439,278360.76738135074,2467.297168482341,-6411428.524934617,753,334,0,0,************* EnergyPlus Completed Successfully-- 186 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 24.62sec
scaled,2019,T2,bounded_rule,35040,365,8760.0,4539204.324999564,314892.2959992354,2828.877061264587,-7688774.688287019,0,0,0,0,************* EnergyPlus Completed Successfully-- 225 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 13.28sec
scaled,2019,T2,deterministic,35040,365,8760.0,4460204.99588218,312703.1495218125,2839.035720013666,-7587881.464269378,0,508,0,0,************* EnergyPlus Completed Successfully-- 222 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 24.11sec
scaled,2019,T2,llm,35040,365,8760.0,4458259.594660776,312245.0685721416,2827.195460219187,-7581356.905254604,819,1947,0,0,************* EnergyPlus Completed Successfully-- 227 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 24.36sec
scaled,2019,T3,bounded_rule,35040,365,8760.0,4282667.598288976,338393.95082055323,2861.0379924102026,-7667354.517812403,0,0,0,0,************* EnergyPlus Completed Successfully-- 80 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 10.34sec
scaled,2019,T3,deterministic,35040,365,8760.0,4221621.47023458,333348.69311986916,2857.297627595626,-7555856.288541529,0,806,0,0,************* EnergyPlus Completed Successfully-- 79 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 24.29sec
scaled,2019,T3,llm,35040,365,8760.0,4217434.063869663,333428.2331268104,2857.297627595626,-7552465.042446465,1141,1932,0,0,************* EnergyPlus Completed Successfully-- 79 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 24.70sec
scaled,2022,T1,bounded_rule,35040,365,8760.0,3463544.7036357983,261047.25092430355,2589.7331005084025,-6074627.83089111,0,0,0,0,************* EnergyPlus Completed Successfully-- 192 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 10.96sec
scaled,2022,T1,deterministic,35040,365,8760.0,3402032.813172933,258711.5427660075,2587.973687280029,-5989756.452606669,702,484,0,0,************* EnergyPlus Completed Successfully-- 200 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 26.09sec
scaled,2022,T1,llm,35040,365,8760.0,3401392.1389424927,258496.6696170466,2587.973687524265,-5986966.487737904,702,288,0,0,************* EnergyPlus Completed Successfully-- 205 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 26.00sec
scaled,2022,T2,bounded_rule,35040,365,8760.0,4254270.833089767,292986.46562117053,2991.854165423396,-7184733.051313749,0,0,0,0,************* EnergyPlus Completed Successfully-- 183 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 13.95sec
scaled,2022,T2,deterministic,35040,365,8760.0,4180448.40552074,290672.74537450814,2991.056308456939,-7087771.082924788,0,480,0,0,************* EnergyPlus Completed Successfully-- 198 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 23.71sec
scaled,2022,T2,llm,35040,365,8760.0,4179457.2962911823,290248.1482505325,2990.021464045768,-7082535.51155358,751,1835,0,0,************* EnergyPlus Completed Successfully-- 205 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 23.70sec
scaled,2022,T3,bounded_rule,35040,365,8760.0,3916788.7751371986,307545.93499653786,3025.0035872513013,-6992919.511426327,0,0,0,0,************* EnergyPlus Completed Successfully-- 174 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 10.67sec
scaled,2022,T3,deterministic,35040,365,8760.0,3863214.8268350195,303104.4719626408,3020.885267503736,-6894932.151168258,0,674,0,0,************* EnergyPlus Completed Successfully-- 160 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 23.51sec
scaled,2022,T3,llm,35040,365,8760.0,3858843.5123847136,303129.41829709086,3020.885267490204,-6890810.9406667,985,1621,0,0,************* EnergyPlus Completed Successfully-- 160 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 23.68sec
