load_mode,year,target_domain,contrast,method,reference,energy_saving_kwh,energy_saving_pct,unmet_delta_kwh_equiv,max_unmet_delta_kw,reward_delta
scaled,2019,T1,deterministic_vs_rule,deterministic,bounded_rule,67716.62668698654,1.832684670513337,-2208.8935656633694,9.748726298818383,89807.87422632147
scaled,2019,T1,llm_vs_rule,llm,bounded_rule,67767.97801236715,1.8340744442135335,-2397.3355117720785,9.748726298810652,91744.16395351663
scaled,2019,T1,llm_vs_deterministic,llm,deterministic,51.35132538061589,0.0014157193721065677,-188.4419461087091,-7.73070496506989e-12,1936.289727195166
scaled,2019,T2,deterministic_vs_rule,deterministic,bounded_rule,78999.32911738474,1.7403783452156523,-2189.14647742291,10.158658749078768,100893.22401764058
scaled,2019,T2,llm_vs_rule,llm,bounded_rule,80944.73033878859,1.7832361035828974,-2647.227427093836,-1.6816010453999297,107417.7830324145
scaled,2019,T2,llm_vs_deterministic,llm,deterministic,1945.401221403852,0.04361685669604684,-458.0809496709262,-11.840259794478698,6524.559014773928
scaled,2019,T3,deterministic_vs_rule,deterministic,bounded_rule,61046.12805439532,1.4254229788644968,-5045.257700684073,-3.7403648145764237,111498.22927087359
scaled,2019,T3,llm_vs_rule,llm,bounded_rule,65233.53441931307,1.523198635480731,-4965.71769374283,-3.7403648145764237,114889.47536593769
scaled,2019,T3,llm_vs_deterministic,llm,deterministic,4187.406364917755,0.09918952692565959,79.54000694124261,0.0,3391.246095064096
scaled,2022,T1,deterministic_vs_rule,deterministic,bounded_rule,61511.89046286512,1.7759808440842135,-2335.708158296038,-1.7594132283734325,84871.3782844413
scaled,2022,T1,llm_vs_rule,llm,bounded_rule,62152.56469330564,1.7944784898564186,-2550.5813072569435,-1.7594129841372705,87661.3431532057
scaled,2022,T1,llm_vs_deterministic,llm,deterministic,640.6742304405198,0.01883210026545834,-214.87314896090538,2.4423616196145304e-07,2789.964868764393
scaled,2022,T2,deterministic_vs_rule,deterministic,bounded_rule,73822.42756902706,1.7352545351564215,-2313.7202466623858,-0.7978569664569477,96961.9683889607
scaled,2022,T2,llm_vs_rule,llm,bounded_rule,74813.53679858474,1.7585513413176284,-2738.3173706380185,-1.8327013776279273,102197.53976016864
scaled,2022,T2,llm_vs_deterministic,llm,deterministic,991.1092295576818,0.02370820384360715,-424.5971239756327,-1.0348444111709796,5235.571371207945
scaled,2022,T3,deterministic_vs_rule,deterministic,bounded_rule,53573.94830217911,1.3678028450820021,-4441.4630338970455,-4.118319747565238,97987.36025806889
scaled,2022,T3,llm_vs_rule,llm,bounded_rule,57945.262752484996,1.4794073941466315,-4416.5166994470055,-4.118319761097155,102108.57075962704
scaled,2022,T3,llm_vs_deterministic,llm,deterministic,4371.314450305887,0.11315224874219934,24.946334450040013,-1.3531916920328513e-08,4121.210501558147
