load_mode,year,target_domain,method,steps,days,hours,energy_kwh,unmet_kwh_equiv,max_unmet_kw,reward_sum,guard_steps,router_switches,severe_count,fatal_count,warning_summary
raw,2019,T1,bounded_rule,35040,365,8760.0,2841540.063544806,198069.29245646825,1750.314692704811,-4822625.087575517,0,0,0,0,************* EnergyPlus Completed Successfully-- 148 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  8.46sec
raw,2019,T1,deterministic,35040,365,8760.0,2797842.972933072,196183.8189170059,1750.2479710480195,-4760071.698339956,507,506,0,0,************* EnergyPlus Completed Successfully-- 145 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 28.77sec
raw,2019,T1,llm,35040,365,8760.0,2797693.6610355116,195991.88019830323,1750.247971216078,-4758002.51681516,507,334,0,0,************* EnergyPlus Completed Successfully-- 147 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 28.19sec
raw,2019,T2,bounded_rule,35040,365,8760.0,3853242.581344885,257762.47841127394,2319.433545098599,-6431387.197243648,0,0,0,0,************* EnergyPlus Completed Successfully-- 194 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  8.90sec
raw,2019,T2,deterministic,35040,365,8760.0,3790844.915667214,254890.67459073724,2318.6398472279416,-6340269.040857983,0,522,0,0,************* EnergyPlus Completed Successfully-- 190 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 29.43sec
raw,2019,T2,llm,35040,365,8760.0,3790827.929318277,254588.10699271434,2318.6398277277567,-6337228.914363423,676,1703,0,0,************* EnergyPlus Completed Successfully-- 194 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 28.56sec
raw,2019,T3,bounded_rule,35040,365,8760.0,3463098.085002026,262612.1793761597,2241.4251405467426,-6089825.859045165,0,0,0,0,************* EnergyPlus Completed Successfully-- 78 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  8.61sec
raw,2019,T3,deterministic,35040,365,8760.0,3418074.840155575,258651.01639825891,2237.0967888753626,-6005190.769183501,0,737,0,0,************* EnergyPlus Completed Successfully-- 79 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 29.45sec
raw,2019,T3,llm,35040,365,8760.0,3414489.249540262,258519.79512960115,2237.09678880911,-6000293.907140207,801,1628,0,0,************* EnergyPlus Completed Successfully-- 79 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 28.48sec
raw,2022,T1,bounded_rule,35040,365,8760.0,2689873.325771663,185432.99553309125,1862.411495891928,-4544535.899696254,0,0,0,0,************* EnergyPlus Completed Successfully-- 210 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 10.01sec
raw,2022,T1,deterministic,35040,365,8760.0,2650224.3639161387,183799.8530987521,1862.0800609834384,-4488554.018267311,485,502,0,0,************* EnergyPlus Completed Successfully-- 206 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 28.49sec
raw,2022,T1,llm,35040,365,8760.0,2649672.0866942974,183574.28602932184,1862.0800609853432,-4485745.528827609,485,306,0,0,************* EnergyPlus Completed Successfully-- 213 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 28.98sec
raw,2022,T2,bounded_rule,35040,365,8760.0,3647759.4575242163,241943.84421305027,2457.992744367736,-6067694.089131883,0,0,0,0,************* EnergyPlus Completed Successfully-- 198 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  9.72sec
raw,2022,T2,deterministic,35040,365,8760.0,3590169.8216044176,239246.5254677454,2456.8708428408654,-5983129.115367152,0,518,0,0,************* EnergyPlus Completed Successfully-- 205 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 28.94sec
raw,2022,T2,llm,35040,365,8760.0,3590362.8535743267,238872.98089349573,2456.8708428408613,-5979589.256758485,681,1653,0,0,************* EnergyPlus Completed Successfully-- 208 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 29.42sec
raw,2022,T3,bounded_rule,35040,365,8760.0,3252511.935692287,243815.60747671232,2421.333535548983,-5691228.441371027,0,0,0,0,************* EnergyPlus Completed Successfully-- 181 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  9.87sec
raw,2022,T3,deterministic,35040,365,8760.0,3210672.0089100725,240028.24315496034,2422.1202984862925,-5611514.949745033,0,640,0,0,************* EnergyPlus Completed Successfully-- 170 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 28.89sec
raw,2022,T3,llm,35040,365,8760.0,3207929.6881886353,239916.3994301992,2422.294834821122,-5607654.856414971,684,1367,0,0,************* EnergyPlus Completed Successfully-- 170 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 29.31sec
