load_mode,year,target_domain,contrast,method,reference,energy_saving_kwh,energy_saving_pct,unmet_delta_kwh_equiv,max_unmet_delta_kw,reward_delta
raw,2019,T1,deterministic_vs_rule,deterministic,bounded_rule,43697.09061173396,1.5377960413910925,-1885.4735394623422,-0.06672165679151476,62553.38923556078
raw,2019,T1,llm_vs_rule,llm,bounded_rule,43846.40250929445,1.5430506531235142,-2077.4122581650154,-0.0667214887330374,64622.57076035626
raw,2019,T1,llm_vs_deterministic,llm,deterministic,149.31189756048843,0.0053366789703697985,-191.9387187026732,1.6805847735668067e-07,2069.18152479548
raw,2019,T2,deterministic_vs_rule,deterministic,bounded_rule,62397.665677670855,1.6193547216508855,-2871.8038205367047,-0.7936978706575246,91118.15638566483
raw,2019,T2,llm_vs_rule,llm,bounded_rule,62414.652026607655,1.6197955542374203,-3174.3714185596036,-0.793717370842387,94158.28288022429
raw,2019,T2,llm_vs_deterministic,llm,deterministic,16.986348936799914,0.0004480887325829894,-302.5675980228989,-1.9500184862408787e-05,3040.1264945594594
raw,2019,T3,deterministic_vs_rule,deterministic,bounded_rule,45023.244846451096,1.3000857538929556,-3961.1629779007635,-4.328351671380005,84635.08986166399
raw,2019,T3,llm_vs_rule,llm,bounded_rule,48608.83546176413,1.4036228333317822,-4092.384246558533,-4.328351737632602,89531.95190495811
raw,2019,T3,llm_vs_deterministic,llm,deterministic,3585.5906153130345,0.10490088084641924,-131.22126865776954,-6.625259629799984e-08,4896.862043294124
raw,2022,T1,deterministic_vs_rule,deterministic,bounded_rule,39648.96185552422,1.4740085146630406,-1633.1424343391554,-0.33143490848965484,55981.881428943016
raw,2022,T1,llm_vs_rule,llm,bounded_rule,40201.23907736549,1.4945402332592252,-1858.709503769409,-0.33143490658494557,58790.37086864561
raw,2022,T1,llm_vs_deterministic,llm,deterministic,552.277221841272,0.020838885543456115,-225.56706943025347,1.904709279187955e-09,2808.489439702593
raw,2022,T2,deterministic_vs_rule,deterministic,bounded_rule,57589.63591979863,1.5787673663900388,-2697.3187453048595,-1.1219015268707153,84564.97376473155
raw,2022,T2,llm_vs_rule,llm,bounded_rule,57396.60394988954,1.5734755709151227,-3070.863319554541,-1.121901526874808,88104.83237339836
raw,2022,T2,llm_vs_deterministic,llm,deterministic,-193.03196990909055,-0.005376680756088194,-373.5445742496813,-4.092726157978177e-12,3539.8586086668074
raw,2022,T3,deterministic_vs_rule,deterministic,bounded_rule,41839.92678221455,1.2863881089281552,-3787.3643217519857,0.7867629373095042,79713.49162599444
raw,2022,T3,llm_vs_rule,llm,bounded_rule,44582.24750365177,1.3707020415334026,-3899.208046513115,0.9612992721390583,83573.58495605644
raw,2022,T3,llm_vs_deterministic,llm,deterministic,2742.3207214372233,0.08541267104914149,-111.84372476112912,0.1745363348295541,3860.0933300619945
